latest_time,window_days,window_start,subset,horizon_min,n,target_quantile,coverage_actual_le_plie,coverage_error,pinball_q,pinball_null_train_q,improvement_vs_null_pct,mean_aligned_actual_bps,median_aligned_actual_bps,mean_plie_mag_bps,transmission_rate,mean_absorption,spearman_abs_plie_vs_aligned,spearman_signed_plie_vs_return
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,all,60,2159,0.65,0.6531,0.0031,11.380904,11.642869,2.25,-1.1538,0.0,1.9499,0.3789,1.2492,-0.0161,-0.03278
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,state_1_5,20,263,0.65,0.6046,-0.0454,7.105011,7.088636,-0.231,-1.8217,-0.3561,4.3625,0.4753,1.2936,-0.03153,-0.03965
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,state_1_5,30,263,0.65,0.6274,-0.0226,8.290044,8.232618,-0.6975,-2.9132,-0.3396,5.3467,0.4905,1.5941,0.00904,-0.05154
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,state_1_5,60,263,0.65,0.6274,-0.0226,10.957602,10.950839,-0.0618,0.5228,0.8469,7.8439,0.5209,0.8634,-0.04591,-0.06786
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,strong_entry,20,7,0.65,0.5714,-0.0786,7.857658,7.623339,-3.0737,-1.9233,-5.8813,4.8251,0.4286,0.8479,-0.78571,-0.39286
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,strong_entry,30,7,0.65,0.5714,-0.0786,11.451259,11.18055,-2.4212,-3.274,-0.7218,6.833,0.4286,0.9541,-0.82143,-0.57143
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,strong_entry,60,7,0.65,0.7143,0.0643,18.078056,17.394515,-3.9296,-2.2545,-0.4662,9.0273,0.4286,0.4758,-0.57143,-0.28571
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,plie_abs_top20,20,432,0.65,0.5903,-0.0597,8.553968,8.503974,-0.5879,-1.8948,-0.8047,3.6584,0.4722,1.4732,-0.03538,-0.05162
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,plie_abs_top20,30,432,0.65,0.5995,-0.0505,10.086732,9.996902,-0.8986,-3.0539,-0.5908,4.454,0.4838,1.8839,0.01454,-0.05899
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,plie_abs_top20,60,432,0.65,0.5949,-0.0551,13.67704,13.578166,-0.7282,-1.0969,0.9706,6.3665,0.5185,1.1953,-0.02422,-0.06311
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,plie_abs_top10,20,216,0.65,0.6296,-0.0204,7.289806,7.292256,0.0336,-3.0718,-1.1537,4.9039,0.463,1.6212,0.0007,-0.05408
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,plie_abs_top10,30,216,0.65,0.6296,-0.0204,8.979043,8.922464,-0.6341,-2.9837,-0.7619,5.9958,0.4769,1.5259,0.01987,-0.05164
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,plie_abs_top10,60,216,0.65,0.6296,-0.0204,11.8342,11.830826,-0.0285,-1.296,0.7775,8.6758,0.5139,1.0953,-0.05236,-0.09436
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,accel_top10,20,216,0.65,0.588,-0.062,10.291015,10.200942,-0.883,-4.8965,-1.8461,2.5782,0.463,3.7519,0.02435,-0.11115
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,accel_top10,30,216,0.65,0.6759,0.0259,12.059814,12.01642,-0.3611,-7.3303,-6.433,3.0711,0.3796,2.478,0.03203,-0.20436
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,accel_top10,60,216,0.65,0.5972,-0.0528,16.23142,16.052023,-1.1176,-9.1249,-2.9947,4.1793,0.4676,0.4773,0.00057,-0.14135
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,reliability_top20,20,432,0.65,0.6088,-0.0412,7.344148,7.319432,-0.3377,-2.3612,-1.8684,3.087,0.4398,2.2651,0.02605,-0.07492
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,reliability_top20,30,432,0.65,0.6134,-0.0366,8.999867,8.936613,-0.7078,-3.7997,-1.7637,3.7683,0.463,2.9007,0.04594,-0.08079
2026-05-12 02:50:00+00:00,90,2026-02-11 02:50:00+00:00,reliability_top20,60,432,0.65,0.6343,-0.0157,11.913639,11.933196,0.1639,-2.763,-2.2569,5.4119,0.4699,2.7656,0.06707,-0.09797
